Site,Validation Date,Pages Checked,Inaccessible Pages,Percentage Accessible,Issues,Rating,Site Url,Report Url,Image URL
Academic Board,7/10/2014,256,206,19.53%,22,,http://about.unimelb.edu.au/academicboard,http://www.unimelb.edu.au/accessibility/sortsite/msl/about-unimelb-edu-au-academicboard/10-07-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Faculty of Arts,10/14/2013,1309,1309,0.00%,23,,http://arts.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/arts-unimelb-edu-au/14-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
ask.unimelb,5/26/2014,3314,3314,0.00%,19,,http://ask.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/ask-unimelb-edu-au/26-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Learning Environments Blog,6/17/2014,1006,997,0.89%,17,,http://blog.le.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/blog-le-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Ask Counselling Blog,5/26/2014,652,646,0.92%,10,,http://blogs.unimelb.edu.au/ask-counselling/,http://www.unimelb.edu.au/accessibility/sortsite/msl/blogs-unimelb-edu-au-ask-counselling/26-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Staff News Blog,6/19/2014,759,70,90.78%,9,,http://blogs.unimelb.edu.au/staffnews/,http://www.unimelb.edu.au/accessibility/sortsite/msl/blogs-unimelb-edu-au-staffnews/19-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-ok.gif
Careers,5/15/2014,285,185,35.09%,17,,http://careers.unimelb.edu.au/home,http://www.unimelb.edu.au/accessibility/sortsite/msl/careers-unimelb-edu-au/15-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Library Catalogue,6/18/2014,18123,18061,0.34%,29,,http://cat.lib.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/cat-lib-unimelb-edu-au/18-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Course Search ,10/7/2013,472,463,1.91%,5,,http://coursesearch.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/coursesearch-unimelb-edu-au/07-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Courseworks,5/26/2014,194,128,34.02%,22,,http://courseworks.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/courseworks-unimelb-edu-au/26-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Digitisation,6/17/2014,210,130,38.10%,14,,http://digitisation.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/digitisation-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne Graduate School of Education,10/10/2013,642,446,30.53%,22,,http://education.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/education-unimelb-edu-au/10-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
ELC,6/16/2014,132,62,53.03%,22,,http://elc.unimelb.edu.au/index.html,http://www.unimelb.edu.au/accessibility/sortsite/msl/elc-unimelb-edu-au/16-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Enrolment,4/11/2014,52,38,26.92%,14,,http://enrolment.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/enrolment-unimelb-edu-au/11-04-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Equity,6/17/2014,1,1,0.00%,6,,http://equity.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/equity-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Faculty of Business and Economics,10/3/2013,5354,4357,18.62%,32,,http://fbe.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/fbe-unimelb-edu-au/03-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Future Students,10/8/2013,6849,3198,53.31%,26,,http://futurestudents.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/futurestudents-unimelb-edu-au/08-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne School of Government,10/16/2013,96,89,7.29%,9,,http://government.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/government-unimelb-edu-au/16-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Graduate School of Humanities & Social Sciences,10/14/2013,137,131,4.38%,8,,http://graduate.arts.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/graduate-arts-unimelb-edu-au/14-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne Graduate School of Science,10/11/2013,130,60,53.85%,13,,http://graduate.science.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/graduate-science-unimelb-edu-au/11-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Graduation,5/15/2014,173,120,30.64%,11,,http://graduation.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/graduation-unimelb-edu-au/15-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Healthy,5/26/2014,219,169,22.83%,15,,http://healthy.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/healthy-unimelb-edu-au/26-05-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Engagement Programs,6/17/2014,15,2,86.67%,9,,http://host.engagementprograms.com/Student/Logon,http://www.unimelb.edu.au/accessibility/sortsite/msl/host-engagementprograms-com-student-logon/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
HR,10/15/2013,1351,990,26.72%,23,,http://hr.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/hr-unimelb-edu-au/15-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Indigenous Eye Health Unit,10/9/2013,154,127,17.53%,16,,http://iehu.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/www-iehu-unimelb-edu-au/09-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne School of Land and Environment,10/14/2013,262,205,21.76%,20,,http://land-environment.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/land-environment-unimelb-edu-au/14-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Learning Environments,6/16/2014,378,218,42.33%,30,,http://le.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/le-unimelb-edu-au/16-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Learning and Teaching,6/16/2014,35,33,5.71%,8,,http://learningandteaching.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/learningandteaching-unimelb-edu-au/16-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Library,6/17/2014,792,649,18.06%,30,,http://library.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/www-library-unimelb-edu-au/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Digital Collections,6/17/2014,5,5,0.00%,5,,http://library.unimelb.edu.au/digitalcollections/home,http://www.unimelb.edu.au/accessibility/sortsite/msl/library-unimelb-edu-au-digitalcollections/17-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
LMS,6/19/2014,226,151,33.19%,17,,http://lms.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/msl/lms-unimelb-edu-au/19-06-14/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
Melbourne Business School,10/9/2013,322,224,30.43%,19,,http://mbs.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/mbs-unimelb-edu-au/09-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
"Faculty of Medicine, Dentistry and Health Sciences",10/10/2013,285,272,4.56%,18,,http://mdhs.unimelb.edu.au/,http://www.unimelb.edu.au/accessibility/sortsite/mdhs-unimelb-edu-au/10-10-13/report/map.htm,http://www.unimelb.edu.au/accessibility/images/face-sad.gif
